Cod_Estab,measure_L,measure_M
06-02-0004-43,1.32,0.79
06-02-0060-43,0.649,0.56
06-02-0060-43,1.007,0.122
06-02-0060-43,1.454,-0.426
06-02-0060-43,0.262,-0.012
06-02-0060-43,0.715,0.688
06-02-0060-43,0.375,0.515
06-02-0060-43,1.262,-0.138
06-02-0004-43,0.83,0.775
19-07-0309-43,-0.832,-1.56
19-07-0235-43,0.948,0.12
19-07-0235-43,-0.335,-0.154
19-07-0235-43,0.42,-0.581
19-07-0237-43,1.068,0.656
19-07-0237-43,0.075,-0.58
19-07-0237-43,1.454,1.165
19-07-0309-43,-3.245,-1.685
19-07-0309-43,-0.087,-0.146
19-07-0237-43,0.031,-0.45
19-07-0235-43,0.075,-1.109
19-07-0235-43,-0.545,0.775
19-07-0237-43,2.238,1.837
19-07-0235-43,0.534,-0.369
19-07-0309-43,-0.285,0.177
19-07-0309-43,-2.163,-0.007
19-07-0235-43,-0.335,0.046
19-07-0237-43,0.766,0.633
19-07-0309-43,-0.752,-1.098
19-07-0237-43,2.238,0.645
19-07-0235-43,0.715,-0.45
19-07-0309-43,-0.684,-1.536
19-07-0309-43,-0.412,-0.299
19-07-0235-43,-0.412,-0.58
19-07-0309-43,-0.752,-0.426
19-07-0235-43,1.262,0.816
19-07-0235-43,0.42,-0.299
19-07-0235-43,0.601,-0.279
19-07-0235-43,-0.087,0.128
19-07-0235-43,1.132,-0.288
19-07-0235-43,0.031,-0.43
19-07-0235-43,-0.209,-0.088
19-07-0309-43,0.488,-1.031
19-07-0235-43,0.766,-0.741
19-07-0235-43,0.375,-0.279
19-07-0237-43,0.262,-0.146
19-07-0237-43,-0.991,-0.59
19-07-0235-43,1.132,0.261
19-07-0235-43,0.601,-0.146
19-07-0237-43,2.509,0.525
19-07-0237-43,1.262,0.254
19-07-0237-43,0.601,0.177
09-06-0012-43,0.147,0.433
09-06-0265-43,0.075,-1.031
09-06-0012-43,0.262,0.265
09-06-0262-43,1.398,1.35
09-06-0262-43,0.83,1.197
09-06-0262-43,0.649,1.836
09-06-0262-43,-0.162,-1.303
09-06-0262-43,0.031,0.128
09-06-0265-43,-0.752,-1.41
09-06-0265-43,-0.752,-0.58
09-06-0265-43,-0.335,-0.928
09-06-0265-43,-0.752,-0.581
09-06-0262-43,0.031,-0.581
09-06-0265-43,-0.752,0.12
09-06-0265-43,-0.285,-0.012
09-06-0262-43,-0.209,0.394
09-06-0265-43,-0.545,0.305
09-06-0262-43,0.305,0.433
09-06-0265-43,-0.832,-1.685
09-06-0265-43,0.075,-0.928
09-06-0262-43,0.075,-0.154
09-06-0012-43,0.305,0.775
09-06-0265-43,-0.911,-1.56
09-06-0265-43,-0.752,-0.226
09-06-0262-43,0.375,0.305
09-06-0265-43,-0.042,-0.918
09-06-0012-43,-0.087,0.249
09-06-0262-43,0.031,-0.286
09-06-0012-43,0.075,0.633
09-06-0262-43,-0.991,0.526
09-06-0262-43,0.305,-0.154
09-06-0262-43,-0.335,-0.611
09-06-0265-43,0.191,0.128
09-06-0262-43,0.262,0.396
09-06-0262-43,-0.684,-0.226
09-06-0262-43,0.375,-1.41
09-06-0012-43,-0.412,-0.226
09-06-0012-43,-0.684,-0.007
09-06-0012-43,-0.335,-0.928
09-07-0007-43,-0.605,-0.581
09-07-0003-43,-0.285,-1.842
09-07-0282-43,-0.545,-0.677
09-07-0282-43,0.262,-0.519
09-07-0007-43,-0.087,-0.146
09-07-0007-43,-0.162,0.305
09-07-0007-43,-0.412,-0.146
09-07-0003-43,-0.467,-2.072
09-07-0003-43,-0.545,-0.43
09-07-0282-43,-0.209,-1.098
09-07-0003-43,-1.359,-1.325
09-07-0003-43,0.534,0.515
09-07-0282-43,-0.162,-1.325
09-07-0282-43,-1.084,-1.176
09-07-0282-43,-0.605,-0.147
09-07-0282-43,0.031,-1.325
09-07-0003-43,-0.911,-1.685
09-07-0007-43,-0.467,0.0
09-07-0007-43,-0.285,-0.45
09-07-0003-43,-0.087,-1.809
09-07-0282-43,-0.412,-0.743
09-07-0282-43,-0.467,-2.632
09-07-0282-43,-0.605,-1.56
09-07-0282-43,-0.991,-0.969
09-07-0282-43,-1.359,-0.969
09-07-0007-43,-0.911,-0.45
09-07-0282-43,-1.359,-3.342
09-07-0282-43,-0.752,-1.836
09-07-0003-43,-0.467,-0.928
09-07-0282-43,0.42,-1.737
09-07-0282-43,-0.285,-0.969
09-07-0282-43,0.031,0.0
20-05-0208-43,-1.839,-1.56
20-05-0218-43,-1.359,0.177
20-05-0060-43,-0.545,-1.685
20-05-0208-43,0.147,-0.088
20-05-0208-43,0.885,0.254
20-05-0208-43,-0.087,-3.342
20-05-0208-43,0.534,-0.59
20-05-0208-43,2.038,1.062
20-05-0208-43,0.262,-0.369
20-05-0208-43,-0.042,0.385
20-05-0208-43,0.601,0.261
20-05-0218-43,0.262,-0.59
20-05-0218-43,1.859,0.378
20-05-0208-43,1.398,1.057
20-05-0060-43,0.147,-0.147
20-05-0208-43,0.715,0.12
20-05-0208-43,1.132,0.249
20-05-0218-43,-0.335,-0.677
20-05-0218-43,1.007,0.254
20-05-0208-43,-0.467,0.515
20-05-0218-43,0.031,-0.58
20-05-0218-43,0.649,0.657
20-05-0208-43,0.649,0.0
20-05-0218-43,-0.285,0.177
20-05-0208-43,0.031,-0.58
20-05-0218-43,1.746,0.79
20-05-0208-43,0.147,0.265
20-05-0208-43,0.534,-0.783
20-05-0208-43,-0.162,-0.226
20-05-0208-43,0.375,-1.842
20-05-0218-43,-0.209,-0.43
20-05-0208-43,-0.412,-0.581
20-05-0208-43,-0.335,0.56
20-05-0208-43,-0.467,-0.436
20-05-0218-43,0.42,0.254
20-05-0208-43,-0.042,-0.007
20-05-0218-43,0.262,0.526
20-05-0218-43,-0.209,0.515
20-05-0208-43,0.262,-0.288
