,Cod_Estab,measure_L,measure_M,Cod_Personal,LastGrade,G4,G5,G6,G7,G8,G9,measure_L_std,measure_M_std,studentPerformace
15769,07-11-0281-43,0.948,-0.088,C021EBR,9,1,1,1,1,1,1,1.5442904913753146,-0.1776226185265876,-0.668957724116195
15770,07-11-0282-43,0.601,-0.58,C119XWH,9,1,1,1,1,1,1,0.6169196393146896,-0.9331616592150972,0.5210811445626985
15771,07-11-0282-43,-0.285,-0.369,C219MNW,3,0,0,0,0,0,0,-0.2925492465968162,-0.5936838831902946,0.9244305539591101
15772,07-11-0281-43,0.715,-0.088,C219WPK,5,1,1,0,0,0,0,1.164733862165981,-0.1776226185265876,-0.4004780280740224
15773,07-11-0281-43,0.031,-0.783,C237FNS,7,1,1,1,1,0,0,0.05049895066733624,-1.5804376171172512,1.3792744866112225
15774,07-11-0281-43,0.766,0.249,C251CIT,4,1,0,0,0,0,0,1.2478127810057922,0.5025912728763672,-0.9400617638724955
15775,07-11-0281-43,0.83,0.249,C324DAC,5,1,1,0,0,0,0,1.3520686791577121,0.5025912728763672,-1.0138072597810752
15776,07-11-0281-43,0.885,0.787,C324TYA,5,1,1,0,0,0,0,1.4416635916320184,1.5885113725048234,-1.8447786544833633
15777,07-11-0281-43,1.262,0.134,C324VAB,9,1,1,1,1,1,1,2.0557959916831723,0.27047080548366753,-1.3475120684968447
15778,07-11-0281-43,0.601,1.041,C342MKG,9,1,1,1,1,1,1,0.9790280435828735,2.1011948396156557,-1.8799298104886444
15779,07-11-0281-43,0.262,0.128,C417WVZ,4,1,0,0,0,0,0,0.42679758305942245,0.25836017240230924,-0.18667814073395864
15780,07-11-0281-43,2.038,0.816,C467YBN,9,1,1,1,1,1,1,3.3198987567752014,1.6470460990647213,-3.214725866136126
15781,07-11-0282-43,0.42,0.122,C517CXZ,6,1,1,1,0,0,0,0.43112520551109756,0.19628572831765836,-0.14586118202549234
15782,07-11-0281-43,-0.605,-0.007,C524PBX,5,1,1,0,0,0,0,-0.9855440372173685,-0.014129071928251288,1.0049553434574883
15783,07-11-0282-43,-0.545,-0.007,C619KPL,3,0,0,0,0,0,0,-0.5594362785798767,-0.01126229588707876,0.7015212505489373
15784,07-11-0281-43,0.42,-0.45,C717LEX,5,1,1,0,0,0,0,0.6841793316219749,-0.9082974811018685,0.455929386673116
15785,07-11-0281-43,0.191,-0.088,C724IYR,5,1,1,0,0,0,0,0.3111386960471362,-0.1776226185265876,0.2033132196774734
15786,07-11-0281-43,0.601,-0.012,C728ZQP,7,1,1,1,1,0,0,0.9790280435828735,-0.02422126616271649,-0.37755254991036813
