,Cod_Estab,measure_L,measure_M,Cod_Personal,LastGrade,G4,G5,G6,G7,G8,G9,measure_L_std,measure_M_std,studentPerformace,LastGrade_aux,y_pred,PrecisionLastGrade_4,RecallLastGrade_4,F1LastGrade_4,predLastGrade_4,PrecisionLastGrade_5,RecallLastGrade_5,F1LastGrade_5,predLastGrade_5,PrecisionLastGrade_6,RecallLastGrade_6,F1LastGrade_6,predLastGrade_6,PrecisionLastGrade_7,RecallLastGrade_7,F1LastGrade_7,predLastGrade_7,PrecisionLastGrade_8,RecallLastGrade_8,F1LastGrade_8,predLastGrade_8,PrecisionLastGrade_9,RecallLastGrade_9,F1LastGrade_9,predLastGrade_9
64,22-11-0035-43,-0.087,-1.56,C530CSM,3,0,0,0,0,0,0,-0.150134959581801,-2.29034443432606,2.058077010640546,0,0,0.9,0.87,0.88,0,0.8,0.75,0.77,0,0.75,0.68,0.71,0,0.64,0.36,0.46,0,0.59,0.24,0.35,0,0.54,0.14,0.22,0
65,13-15-0760-43,-0.605,-0.677,C019YLL,3,0,0,0,0,0,0,-0.8859665498113167,-0.7328228869565788,1.4456097272332926,0,0,0.9,0.87,0.88,1,0.8,0.75,0.77,1,0.75,0.68,0.71,1,0.64,0.36,0.46,0,0.59,0.24,0.35,0,0.54,0.14,0.22,0
66,15-08-0356-43,-1.165,-0.918,C013UYX,3,0,0,0,0,0,0,-2.7072854244524276,-0.9877650083395774,2.891917866341079,0,0,0.9,0.87,0.88,0,0.8,0.75,0.77,0,0.75,0.68,0.71,0,0.64,0.36,0.46,0,0.59,0.24,0.35,0,0.54,0.14,0.22,0
67,01-08-1580-43,0.948,0.505,C835NVE,3,0,0,0,0,0,0,1.5013504873921972,0.975339304884924,-1.4404384667199195,0,0,0.9,0.87,0.88,1,0.8,0.75,0.77,1,0.75,0.68,0.71,1,0.64,0.36,0.46,1,0.59,0.24,0.35,1,0.54,0.14,0.22,0
68,13-15-0746-43,-0.162,-2.601,D634BFH,3,0,0,0,0,0,0,-0.18448246108706923,-2.5455433491321418,2.2658172239355436,0,0,0.9,0.87,0.88,1,0.8,0.75,0.77,0,0.75,0.68,0.71,0,0.64,0.36,0.46,0,0.59,0.24,0.35,0,0.54,0.14,0.22,0
69,08-06-0358-43,0.147,-0.43,E995VXR,3,0,0,0,0,0,0,0.45069836328811475,-0.3521203230101586,0.24463075468096931,0,0,0.9,0.87,0.88,1,0.8,0.75,0.77,0,0.75,0.68,0.71,1,0.64,0.36,0.46,0,0.59,0.24,0.35,0,0.54,0.14,0.22,0
70,12-04-0204-43,0.191,-0.288,C412RYF,3,0,0,0,0,0,0,0.4215427160611823,-0.5496125087542137,0.4071808102851848,0,0,0.9,0.87,0.88,1,0.8,0.75,0.77,1,0.75,0.68,0.71,1,0.64,0.36,0.46,0,0.59,0.24,0.35,0,0.54,0.14,0.22,0
71,13-14-0714-43,-0.209,-1.325,C317DHH,3,0,0,0,0,0,0,-0.49401480291201805,-2.6116509639747894,2.528035159792397,0,0,0.9,0.87,0.88,1,0.8,0.75,0.77,1,0.75,0.68,0.71,0,0.64,0.36,0.46,0,0.59,0.24,0.35,0,0.54,0.14,0.22,0
72,12-04-0183-43,0.42,-3.42,C510GUI,3,0,0,0,0,0,0,0.6687951591281887,-3.2440579555441724,2.1777554173983917,0,0,0.9,0.87,0.88,1,0.8,0.75,0.77,1,0.75,0.68,0.71,1,0.64,0.36,0.46,0,0.59,0.24,0.35,0,0.54,0.14,0.22,0
73,13-14-0714-43,-1.084,-0.677,C817TUX,3,0,0,0,0,0,0,-2.5622585950077874,-1.33440581329127,3.0412184467263716,0,0,0.9,0.87,0.88,1,0.8,0.75,0.77,1,0.75,0.68,0.71,0,0.64,0.36,0.46,0,0.59,0.24,0.35,0,0.54,0.14,0.22,0
